0alias	0alias is deprecated. use '0install add' instead.0alias is deprecated. use '0install add' instead. 
7z	7-zip is a file archiver with the highest compression ratio. the program supports 7z (that implements lzma compression algorithm), zip, cab, arj, gzip, bzip2, tar, cpio, rpm and deb formats. compression ratio in the new 7z format is 30-50% better than ratio in zip format.than ratio in zip format. 
7za	7-zip is a file archiver with the highest compression ratio. the program supports 7z (that implements lzma compression algorithm), zip, cab, arj, gzip, bzip2, tar, cpio, rpm and deb formats. compression ratio in the new 7z format is 30-50% better than ratio in zip format.than ratio in zip format. 
a2p	a2p takes an awk script specified on the command line (or from standard input) and produces a comparable perl script on the standard output.output. 
a2ps	convert file(s) or standard input to postscript. by default, the output is sent to the default printer. an output file may be specified with -o. mandatory arguments to long options are mandatory for short options too. long options marked with * require a yes/no argument, corresponding short options stand for 'yes'.stand for 'yes'. 
a2x	a docbook toolchain wrapper script that translates an asciidoc text file file to pdf, dvi, ps, latex, xhtml (single page or chunked), man page, html help or plain text formats. pdf, xhtml, man page and html help formats are are generated using the asciidoc(1), xsltproc(1), docbook xsl stylesheets, dblatex (or fop) toolchain. plain text is produced by passing asciidoc(1) generated html through lynx(1). the htmlhelp format option generates .hhp, .hhc and .html files suitable for compilation to an html help
a52dec	'a52dec' plays atsc a/52 audio streams. input is from stdin if no file is given.'a52dec' plays atsc a/52 audio streams. input is from stdin if no file is given. 
aafire	this manual page documents briefly the aafire, aainfo, aasavefont, and aatest programs. all of these programs exist to demonstrate the capabilities of the aalib library, an ascii art library. aafire displays burning ascii art flames. aainfo displays information about what drivers aalib will use for the display, keyboard, and mouse, and what parameters, such as screen size those drivers will use. aasavefont saves a font to a file. aatest tests the capabilities of aalib.aatest tests the capabilities of aalib. 
aarch64-linux-gnu-addr2line	addr2line translates addresses into file names and line numbers. given an address in an executable or an offset in a section of a relocatable object, it uses the debugging information to figure out which file name and line number are associated with it. the executable or relocatable object to use is specified with the -e option. the default is the file a.out. the section in the relocatable object to use is specified with the -j option. addr2line has two modes
aarch64-linux-gnu-ar	the gnu ar program creates, modifies, and extracts from archives. an archive is a single file holding a collection of other files in a structure that makes it possible to retrieve the original individual files (called members of the archive). the original files' contents, mode (permissions), timestamp, owner, and group are preserved in the archive, and can be restored on extraction. gnu ar can maintain archives whose members have names of any length; however, depending on how ar is configured
aarch64-linux-gnu-as	gnu as is really a family of assemblers. if you use (or have used) the gnu assembler on one architecture, you should find a fairly similar environment when you use it on another architecture. each version has much in common with the others, including object file formats, most assembler directives (often called pseudo-ops) and assembler syntax. as is primarily intended to assemble the output of the gnu c compiler "gcc" for use by the linker "ld". nevertheless, we've tried to
aarch64-linux-gnu-c++filt	the c ++ and java languages provide function overloading, which means that you can write many functions with the same name, providing that each function takes parameters of different types. in order to be able to distinguish these similarly named functions c ++ and java encode them into a low-level assembler name which uniquely identifies each different version. this process is known as mangling. the c++filt [1] program does the inverse mapping: it decodes (demangles) low-level names into user-level names
aarch64-linux-gnu-cpp	the c preprocessor, often known as cpp, is a macro processor that is used automatically by the c compiler to transform your program before compilation. it is called a macro processor because it allows you to define macros, which are brief abbreviations for longer constructs. the c preprocessor is intended to be used only with c, c ++ , and objective-c source code. in the past, it has been abused as a general text processor. it will choke on input
aarch64-linux-gnu-dlltool	dlltool reads its inputs, which can come from the -d and -b options as well as object files specified on the command line. it then processes these inputs and if the -e option has been specified it creates a exports file. if the -l option has been specified it creates a library file and if the -z option has been specified it creates a def file. any or all of the -e, -l and -z options can be present in
aarch64-linux-gnu-elfedit	elfedit updates the elf header of elf files which have the matching elf machine and file types. the options control how and which fields in the elf header should be updated. elffile... are the elf files to be updated. 32-bit and 64-bit elf files are supported, as are archives containing elf files.elf files. 
aarch64-linux-gnu-gcc	when you invoke gcc , it normally does preprocessing, compilation, assembly and linking. the "overall options" allow you to stop this process at an intermediate stage. for example, the -c option says not to run the linker. then the output consists of object files output by the assembler. other options are passed on to one stage of processing. some options control the preprocessor and others the compiler itself. yet other options control the assembler and linker; most of these are
aarch64-linux-gnu-gcov	gcov is a test coverage program. use it in concert with gcc to analyze your programs to help create more efficient, faster running code and to discover untested parts of your program. you can use gcov as a profiling tool to help discover where your optimization efforts will best affect your code. you can also use gcov along with the other profiling tool, gprof, to assess which parts of your code use the greatest amount of computing time. profiling tools
aarch64-linux-gnu-gprof	"gprof" produces an execution profile of c, pascal, or fortran77 programs. the effect of called routines is incorporated in the profile of each caller. the profile data is taken from the call graph profile file (gmon.out default) which is created by programs that are compiled with the -pg option of "cc", "pc", and "f77". the -pg option also links in versions of the library routines that are compiled for profiling. "gprof" reads the given object file (the default is "a.out")
aarch64-linux-gnu-ld	ld combines a number of object and archive files, relocates their data and ties up symbol references. usually the last step in compiling a program is to run ld. ld accepts linker command language files written in a superset of at&t 's link editor command language syntax, to provide explicit and total control over the linking process. this man page does not describe the command language; see the ld entry in "info" for full details on the command language and
aarch64-linux-gnu-nlmconv	nlmconv converts the relocatable i386 object file infile into the netware loadable module outfile, optionally reading headerfile for nlm header information. for instructions on writing the nlm command file language used in header files, see the linkers section, nlmlink in particular, of the nlm development and tools overview, which is part of the nlm software developer's kit (" nlm sdk "), available from novell, inc. nlmconv uses the gnu binary file descriptor library to read infile; nlmconv can perform a
aarch64-linux-gnu-nm	gnu nm lists the symbols from object files objfile.... if no object files are listed as arguments, nm assumes the file a.out. for each symbol, nm shows:for each symbol, nm shows: 
aarch64-linux-gnu-objcopy	the gnu objcopy utility copies the contents of an object file to another. objcopy uses the gnu bfd library to read and write the object files. it can write the destination object file in a format different from that of the source object file. the exact behavior of objcopy is controlled by command-line options. note that objcopy should be able to copy a fully linked file between any two formats. however, copying a relocatable object file between any two formats
aarch64-linux-gnu-objdump	objdump displays information about one or more object files. the options control what particular information to display. this information is mostly useful to programmers who are working on the compilation tools, as opposed to programmers who just want their program to compile and work. objfile... are the object files to be examined. when you specify archives, objdump shows information on each of the member object files.files. 
aarch64-linux-gnu-ranlib	ranlib generates an index to the contents of an archive and stores it in the archive. the index lists each symbol defined by a member of an archive that is a relocatable object file. you may use nm -s or nm --print-armap to list this index. an archive with such an index speeds up linking to the library and allows routines in the library to call each other without regard to their placement in the archive. the gnu ranlib program
aarch64-linux-gnu-readelf	readelf displays information about one or more elf format object files. the options control what particular information to display. elffile... are the object files to be examined. 32-bit and 64-bit elf files are supported, as are archives containing elf files. this program performs a similar function to objdump but it goes into more detail and it exists independently of the bfd library, so if there is a bug in bfd then readelf will not be affected.there is a bug in
aarch64-linux-gnu-size	the gnu size utility lists the section sizes---and the total size---for each of the object or archive files objfile in its argument list. by default, one line of output is generated for each object file or each module in an archive. objfile... are the object files to be examined. if none are specified, the file "a.out" will be used.objfile... are the object files to be examined. if none are specified, the file "a.out" will be used. 
aarch64-linux-gnu-strings	for each file given, gnu strings prints the printable character sequences that are at least 4 characters long (or the number given with the options below) and are followed by an unprintable character. by default, it only prints the strings from the initialized and loaded sections of object files; for other types of files, it prints the strings from the whole file. strings is mainly useful for determining the contents of non-text files.strings is mainly useful for determining the contents
aarch64-linux-gnu-strip	gnu strip discards all symbols from object files objfile. the list of object files may include archives. at least one object file must be given. strip modifies the files named in its argument, rather than writing modified copies under different names.strip modifies the files named in its argument, rather than writing modified copies under different names. 
aarch64-linux-gnu-windmc	windmc reads message definitions from an input file (.mc) and translate them into a set of output files. the output files may be of four kinds:kinds: 
aarch64-linux-gnu-windres	windres reads resources from an input file and copies them into an output file. either file may be in one of three formats:windres reads resources from an input file and copies them into an output file. either file may be in one of three formats: 
aaxine	this manual page explains the aaxine program. aaxine, is an aalib based frontend for libxine, a versatile video/multimedia player. aaxine is for those who don't have a high end video card, but just want to watch dvds on their good old vt100 ;-) like xine, aaxine plays mpeg system (audio and video) streams, mpeg elementary streams (e.g. .mp3 or .mpv files), avi files (using win32 codecs or ffmpeg), (s)vcds, dvds and many more. in short, anything that's supported by xine-lib.ffmpeg),
abcde	ordinarily, the process of grabbing the data off a cd and encoding it, then tagging or commenting it, is very involved. abcde is designed to automate this. it will take an entire cd and convert it into a compressed audio format - ogg/vorbis, mpeg audio layer iii, free lossless audio codec (flac), ogg/speex, mpp/mp+(musepack) and/or m4a (aac) format(s). with one command, it will:ogg/vorbis, mpeg audio layer iii, free lossless audio codec (flac), ogg/speex, mpp/mp+(musepack) and/or m4a (aac) format(s). with one
abiword	abiword is a full-featured, efficient word processing application suitable for a wide range of word processing tasks, and extensible with a variety of plugins. it integrates with enchant(1) to provide spell-checking.plugins. it integrates with enchant(1) to provide spell-checking. 
abl	libablmmm.a is a library that enables to represent a boolean function in a lisp-like form. an abl is a prefixed internal representation for a boolean function having standard operators as or,nor,nand,xor,not and and. an abl is only made up of doublets. a doublet is composed of two fields wich are accessible by the functionnal #define car and cdr. a doublet is implemented with a mbk chain_list. expression is the generic term for a boolean function represented by an abl. an
abook	this manual page documents briefly the abook program. this manual page was written for the debian gnu/linux distribution because the original program does not have a manual page. abook is a text-based address book program. it contains name, email, address and various phone fields. it is designed for use with mutt, but can be equally useful on its own.equally useful on its own. 
abrt-action-analyze-backtrace	the tool reads a file named backtrace from problem directory, generates duplication hash, backtrace rating, and identifies crash function. then it saves this data as new elements global_uuid, rating, crash_function in this problem directory. integration with libreport eventsintegration with libreport events 
abrt-action-analyze-c	the tool reads the file named coredump from a problem data directory, processes it and generates a universally unique identifier (uuid). then it saves this data as new element uuid. integration with abrt eventsintegration with abrt events 
abrt-action-analyze-oops	the tool reads the file named backtrace from a problem data directory, parses it as a kernel oops record and generates a duplication hash and a universally unique identifier (uuid). then it saves this data as new elements duphash and uuid. integration with abrt eventsintegration with abrt events 
abrt-action-analyze-python	the tool reads the file named backtrace from a problem data directory, parses it as a python exception and generates a duplication hash and a universally unique identifier (uuid). then it saves this data as new elements duphash and uuid. integration with abrt eventsintegration with abrt events 
abrt-action-analyze-vmcore	the tool reads the file named vmcore from a problem data directory, processes it and the oops message from it. then it saves this data as new element backtrace. integration with abrt eventsintegration with abrt events 
abrt-action-generate-backtrace	this tool runs gdb(1) on a file named coredump in problem directory dir. gdb(1) generates backtrace and other diagnostic information about the state of the application at the moment when coredump was generated. then the tool saves it as new element backtrace in this problem directory. integration with libreport eventsintegration with libreport events 
abrt-action-generate-core-backtrace	this tool uses coredump from the file coredump and binary at the path stored in file executable in the problem directory to generate coredump-level backtrace. coredump-level backtrace resembles ordinary backtrace in that it contains information about call frames present on the stack at the time of the crash. however, it only contains information that can be obtained from the coredump without debugging symbols available - mainly relative addresses of the stored instruction pointers. such backtrace can still be useful for
abrt-action-list-dsos	the tool reads a file containing the mapped memory regions. output is printed to stdout or file. output format:output format: 
abrt-action-save-package-data	the tool reads problem directory dir. it analyzes contents of analyzer, executable, cmdline' and remote elements, checks database of installed packages, and creates new elements package and component. this data is usually necessary if the problem will be reported to a bug tracking database. integration with abrt eventsintegration with abrt events 
abrt-handle-upload	the tool unpacks filename located in upload_dir and moves the problem data found in it to abrt_dir. it supports unpacking tarballs compressed by gzip, bzip2 or xz. it's called by abrtd when a new file is noticed in the upload directory configured by the watchcrashdumparchivedir option.or xz. it's called by abrtd when a new file is noticed in the upload directory configured by the watchcrashdumparchivedir option. 
abrt-install-ccpp-hook	abrt-install-ccpp-hook registers abrt coredump handler (which saves segfault data) into kernel.abrt-install-ccpp-hook registers abrt coredump handler (which saves segfault data) into kernel. 
abrt-server	abrt-server is executed by abrtd daemon to handle socket connections. every application in system is able to invoke creation of a new problem directory by following the communication protocol (described below in section protocol).directory by following the communication protocol (described below in section protocol). 
ac	ac prints out a report of connect time (in hours) based on the logins/logouts in the current wtmp file. a total is also printed out. the accounting file wtmp is maintained by init(8) and login(1). neither ac nor login creates the wtmp if it doesn't exist, no accounting is done. to begin accounting, create the file with a length of zero. note: the wtmp file can get really big, really fast. you might want to trim it every once and
acat	this manual page document describes the atool commands. these commands are used for managing file archives of various types, such as tar and zip archives. each command can be executed individually or by giving the appropriate options to atool (see options below). aunpack extracts files from an archive. often one wants to extract all files in an archive to a single subdirectory. however, some archives contain multiple files in their root directories. the aunpack program overcomes this problem by first
access	exit successfully if file can be accessed with the specified mode. mode is one or more letters of rwx, where r is for readable, w is for writable, and x is for executable. the difference between access and test is that the latter looks at the permission bits, while the former checks using the access(2) system call. this makes a difference when file systems have been mounted read-only.system call. this makes a difference when file systems have been mounted read-only.
ack	ack is designed as a replacement for 99% of the uses of grep. ack searches the named input files (or standard input if no files are named, or the file name - is given) for lines containing a match to the given pattern . by default, ack prints the matching lines. ack can also list files that would be searched, without actually searching them, to let you take advantage of ack's file-type filtering capabilities.capabilities. 
aclocal	generate 'aclocal.m4' by scanning 'configure.ac' or 'configure.in'generate 'aclocal.m4' by scanning 'configure.ac' or 'configure.in' 
aclocal-1.11	generate 'aclocal.m4' by scanning 'configure.ac' or 'configure.in'generate 'aclocal.m4' by scanning 'configure.ac' or 'configure.in' 
aconnect	aconnect is a utility to connect and disconnect two existing ports on alsa sequencer system. the ports with the arbitrary subscription permission, such as created by aseqview(1), can be connected to any (midi) device ports using aconnect. for example, to connect from port 64:0 to 65:0, run as follows:using aconnect. for example, to connect from port 64:0 to 65:0, run as follows: 
acpitool	acpitool is a linux acpi client. it simply reads /proc/acpi or /sys/class entries and presents the output in a meaningfull, human-readable format.it provides a.o. information on battery status, ac adapter presence, thermal reading, etc. this command is most useful on laptops with an acpi compliant bios and a linux kernel, preferably from the 2.6 series, with acpi enabled.acpitool also allows the machine to be put into standby, if your laptop supports it.if your laptop is a toshiba , it allows
acyclic	acyclic is a filter that takes a directed graph as input and outputs a copy of the graph with sufficient edges reversed to make the graph acyclic. the reversed edge inherits all of the attributes of the original edge. the optional file argument specifies where the the input graph is stored; by default, the program reads from stdin.specifies where the the input graph is stored; by default, the program reads from stdin. 
ad	ad is a unix file utlity suite with netatalk compatibity. appledouble files in .appledouble directories and the cnid databases are updated as appropiate.appropiate. 
adcfw-log	adcfw-log is a tool for analyzing firewall logs in order to extract meaningful information. it is designed to be a standalone script with very few requirements that can generate different kinds of reports, such as fully formatted reports of what had been logged, with summaries by source or destination host, the type of service, or protocol. there are also options to filter the input data by date, host, protocol, service, and so on. only netfilter log format is supported at
addctrld	the program runs as a filter, standard input is passed to standard output, a ctrl-d is appended. some ps print jobs generated on unix systems contain pure postscript without a finishing ctrl-d. sending such a print job to a printer may cause problems as the end of print job is not recognized properly by the printer.job is not recognized properly by the printer. 
adddebug	adddebug modifies the makefile in the current directory (and optionally in its subdirectories) to add debug info (-g3). it will also remove optimisations (-o[1-9]). this utility is part of the kde software development kit.this utility is part of the kde software development kit. 
addftinfo	addftinfo reads a troff font file and adds some additional font-metric information that is used by the groff system. the font file with the information added is written on the standard output. the information added is guessed using some parametric information about the font and assumptions about the traditional troff names for characters. the main information added is the heights and depths of characters. the res and unitwidth arguments should be the same as the corresponding parameters in the desc
addr2line	addr2line translates addresses into file names and line numbers. given an address in an executable or an offset in a section of a relocatable object, it uses the debugging information to figure out which file name and line number are associated with it. the executable or relocatable object to use is specified with the -e option. the default is the file a.out. the section in the relocatable object to use is specified with the -j option. addr2line has two modes
addresses	addresses will connect to your palm handheld and dump all entries found in the addressdb.pdb (address book) file to stdout (generally the screen) or, if redirected with the '>' (greater-than) character, it will redirect to a file of your choosing (called "myaddresses.txt in the above example, but may be called any other filename you wish).called any other filename you wish). 
addwords	addwords adds words to specified dictionary according to the word information from the standard input. the standard input must be in a format of ''text dictionary format'' of canna. dicname must be a ''text dictionary format'' which can be rewritten.dicname must be a ''text dictionary format'' which can be rewritten. 
adiff	this manual page document describes the atool commands. these commands are used for managing file archives of various types, such as tar and zip archives. each command can be executed individually or by giving the appropriate options to atool (see options below). aunpack extracts files from an archive. often one wants to extract all files in an archive to a single subdirectory. however, some archives contain multiple files in their root directories. the aunpack program overcomes this problem by first
admsxml	admsxml is a code generator that converts electrical compact device models specified in high-level description language into ready-to-compile c code for the api of spice simulators.high-level description language into ready-to-compile c code for the api of spice simulators. 
adr_parse	the xml bookmark exchange language, or xbel, is an internet "bookmarks" interchange format. adr_parse parses opera bookmark files.adr_parse parses opera bookmark files. 
advdef	the main purpose of this utility is to recompress the data present in the .png, .mng, .gz, .tgz and .svgz files. the internal structure of the files isn't changed. only the compressed data is modified.the internal structure of the files isn't changed. only the compressed data is modified. 
advdiff	this utility prints all the games contained in the dest_info file and not contained in orig_info file. a game is considered contained if all his roms are present in a game with the same name. the dest_info and orig_info files are the rom information files generated with the -listinfo/-listxml or -gameinfo options of the emulators. you can use this utility to create differential romset. for example you can use this command:you can use this utility to create differential romset. for
advmng	the main purpose of this utility is to recompress mng files to get the smallest possible size. please note that this utility is not able to read a generic file. it's granted to be able to read only the files generated by the advancemame emulator. to compress the files this utility uses the following strategies: • remove all ancillary chunks. • use the mng delta feature to compress video clips with only small changes between frames. • use the mng
advpng	the main purpose of this utility is to recompress png files to get the smallest possible size. please note that this utility is not able to read a generic file. it's granted to be able to read only the files generated by the advancemame emulator. to compress the files this utility uses the following strategies: • remove all ancillary chunks. • concatenate all the idat chunks. • use the 7zip deflate implementation.• use the 7zip deflate implementation. 
advscan	advscan is a command line utility for maintaining a zipped archive of roms and sample zip archive for the mame, mess, xmame, advancemame, advancemess and raine emulators. the goal of advscan is to obtain a complete and perfect rom and sample zip archive with differential merging. differential merging means that any game has its zip archive, which contains all the rom files, which are not already in the parent zip archive (if exists). advscan has these features: • directly read,
advzip	the main purpose of this utility is to recompress and test the zip archives to get the smallest possible size. for recompression the 7-zip (www.7-zip.com) deflate implementation is used. this implementation generally gives 5-10% more compression than the zlib deflate implementation.implementation. for experimental purpose also the 7-zip lzma algorithm is available with the -n option. in this case, the generated zips will not be usable by any other program. to make them usable you need to recompress them without the
aee	aee and xae are non-modal editors, that is, the user does not need to switch from one mode to another to insert and delete text. the editor is always in text mode. control sequences and function keys are used to perform the editing functions. in the case of xae, the mouse can also be used to position the cursor, and perform text selection and pasting. rae and rxae are the same as aee and xae respectively, except that they are
aespipe	aespipe reads from standard input and writes to standard output. it can be used to create and restore encrypted tar or cpio archives. it can be used to encrypt and decrypt loop-aes compatible encrypted disk images. the aes cipher is used in cbc (cipher block chaining) mode. data is encrypted and decrypted in 512 byte chains. aespipe supports three key setup modes; single-key, multi-key-v2 and multi-key-v3 modes. single-key mode uses simple sector iv and one aes key to encrypt and
afick	the goal of this program is to monitor what change on your host : new/deleted/modified files. so it can be used as an intrusion detection system ( by integrity checking ). it is designed to be a portable clone of aide (advanced intrusion detection environment), or tripwire software. you should launch it regulary (by cron for example) and after any software change. this is a command-line program, you can use afick-tk.pl if you prefer a graphical interface.this is a command-line
afick-tk	afick-tk is designed to help to use afick for people who prefer graphical interfaces. graphical reports such "tree-view" may help to have a quick overview.graphical reports such "tree-view" may help to have a quick overview. 
afio	afio manipulates groups of files, copying them within the (collective) filesystem or between the filesystem and an afio archive. with -o, reads pathnames from the standard input and writes an archive. with -t, reads an archive and writes a table-of-contents to the standard output. with -i, installs the contents of an archive relative to the working directory. with -p, reads pathnames from the standard input and copies the files to each directory. cannot be combined with the -z option. with
afm2tfm	postscript fonts are (or should be) accompanied by font metric files such as times-roman.afm, which describes the characteristics of the font called times-roman. to use such fonts with tex, we need tfm files that contain similar information. this program does that conversion. for more information, print out the dvips manual.that conversion. for more information, print out the dvips manual. 
afmtodit	afmtodit creates a font file for use with groff and grops. afmtodit is written in perl; you must have perl version 3 or newer installed in order to run afmtodit. afm_file is the afm (adobe font metric) file for the font. map_file is a file that says which groff character names map onto each postscript character name; this file should contain a sequence of lines of the formnames map onto each postscript character name; this file should contain a sequence
afp_client	afp_client command allows you to perform some basic functions to access afp volumes, such as mount, unmount, get status, suspend and resume. do not confuse this with afpcmd; afp_client is to be used only for the fuse client, in conjunction with afpfsd(1). afpcmd is a batch-mode file transferring client. both of them use the afpfs-ng libraries. afp_mount(1) is normally a symlink to afp_client. it only handles mounting commands with a fully formed afp url.afp_mount(1) is normally a symlink to afp_client.
afpcmd	afpcmd is a command-line tool to help transfer files to and from a server using afp. this is typically either netatalk or mac os or mac os x. this can be done as a non-root user. it offers either an interactive command-line (like a traditional ftp client) or for batch retrievals. do not confuse this with the fuse mounting tools (mount_afp, afpfsd, afp_client), which offer the ability to mount an entire filesystem.do not confuse this with the fuse mounting tools
afpfsd	afpfsd is a daemon that manages afp sessions. functions (like mounting, getting status, etc) can be performed using the afp_client(1) tool. this client communicates with the daemon over a named pipe. afpfsd will not start if another instance is already running. there needs to be one copy of afpfsd running per user.afpfsd will not start if another instance is already running. there needs to be one copy of afpfsd running per user. 
afpgetstatus	afpcmd is a command-line tool that parses and prints the status information of an afp server. it does this without having to login to a server. it is a response to the dsi getstatus request (which is the same as the afp fpgetsrvrinfo). it only handles ipv4 addresses.it only handles ipv4 addresses. 
afpldaptest	afpldaptest is a simple command to syntactically check /etc/netatalk//afp_ldap.conf.afpldaptest is a simple command to syntactically check /etc/netatalk//afp_ldap.conf. 
afppasswd	afppasswd allows the maintenance of afppasswd files created by netatalk for use by the uams_randnum.so uam (providing the "randnum exchange" and "2-way randnum exchange" user authentication modules). afppasswd can either be called by root with parameters, or can be called by local system users with no parameters to change their afp passwords.passwords. 
afs5log	the afs5log command uses kerberos to obtain afs tokens for the named cells. if no cell is named, tokens are obtained for the local cell. if the principal name of the afs service for the cell is known, the cell name may also be given in the form cell=principal_name. attempts are made to obtain kerberos iv credentials first, and if that fails, afs5log will create kerberos 5 (2b-style) tokens.(2b-style) tokens. 
afslog	the afslog command obtains afs tokens, args are either a name of a cell or a pathnames of a file in the cell to get tokens for. if an argument is . or .. or contains a slash it is assumed to be a pathname. otherwise it is assumed to be a name of a cell or a prefix thereof. the -c and -p flags can be used to resolve ambiguities. afslog might fail to guess the kerberos realm to
agedu	agedu scans a directory tree and produces reports about how much disk space is used in each directory and subdirectory, and also how that usage of disk space corresponds to files with last-access times a long time ago. in other words, agedu is a tool you might use to help you free up disk space. it lets you see which directories are taking up the most space, as du does; but unlike du, it also distinguishes between large collections of
agmrancid	rancid is a perl(1) script which uses the login scripts (see clogin(1)) to login to a device, execute commands to display the configuration, etc, then filters the output for formatting, security, and so on. rancid's product is a file with the name of it's last argument plus the suffix .new. for example, hostname.new. there are complementary scripts for other platforms and/or manufacturers that are supported by rancid(1). briefly, these are:there are complementary scripts for other platforms and/or manufacturers that are
agr	amigaguide reader (agr for short) is a command line program for viewing amigaguide files, the native documentation format commonly used on the amiga platform and its clones. it supports the complete v39 specification and a significant part of the v40 specification. amigaguide files traditionally use the .guide filename suffix.specification. amigaguide files traditionally use the .guide filename suffix. 
agrep	searches for approximate matches of pattern in each file or standard input. example: 'agrep -2 optimize foo.txt' outputs all lines in file 'foo.txt' that match "optimize" within two errors. e.g. lines which contain "optimise", "optmise", and "opitmize" all match.all match. 
aide	aide is an intrusion detection system for checking the integrity of files.aide is an intrusion detection system for checking the integrity of files. 
aimk	aimk is a wrapper program for make, used to portably select options to build pvm and pvm applications on various machines. each port of pvm is assigned an architecture name. the name is used both during compilation (to conditionally switch in code) and at runtime (to select an executable or host). aimk uses the value of environment variable $pvm_arch if it is set, otherwise it calls $pvm_root/pvmgetarch to determine the architecture name. pvmgetarch is a script that sniffs at various
aircrack-ng	aircrack-ng is a 802.11 wep / wpa-psk key cracker. it implements the so-called fluhrer - mantin - shamir (fms) attack, along with some new attacks by a talented hacker named korek. when enough encrypted packets have been gathered, aircrack-ng can almost instantly recover the wep key.instantly recover the wep key. 
airdaemon	airdaemon invokes a child process and ensures that it is restarted if it encounters any errors. the delay between child exit and restart can be chosen, and can either be constant or exponentially increasing up to a specified maximum. use of two dashes (--) after all airdaemon command-line switches allows program_args to be interpreted by the program rather than airdaemon itself. while they are not strictly required if you do not need to pass arguments to program , they should
airdecap-ng	airdecap-ng decrypts a wep/wpa crypted pcap file to a uncrypted one by using the right wep/wpa keys.keys. 
aireplay-ng	aireplay-ng injects specially generated arp-request packets into an existing wireless network in order to generate traffic. by sending these arp-request packets again and again, the target host will respond with encrypted replies, thus providing new and possibly weak ivs.aireplay-ng supports single-nic injection/monitor. this feature needs driver patching.this feature needs driver patching. 
airinv	airinv is a small program showing how to use the airinv library.airinv is a small program showing how to use the airinv library. 
airinv-config	airinv-config is a tool that is used by configure to determine the compiler and linker flags that should be used to compile and link programs that use airinv. it is also used internally by the .m4 macros, that are included with airinv, for gnu autoconf.use airinv. it is also used internally by the .m4 macros, that are included with airinv, for gnu autoconf. 
airinv_parseinventory	airinv is a small program showing how to use the airinv library.airinv is a small program showing how to use the airinv library. 
airinvclient	airinvclient is a small program sending and receiving simple json-formatted messages to the zeromq-based server (airinvserver). the aim of that client is to test that the airinv server is up and running, and that it receives and sends json requests. airinvclient does not accept any option for now. do not hesitate to contribute!airinvclient does not accept any option for now. do not hesitate to contribute! 
airinvserver	airinvserver is a small program wrapping the airinv library, so as to expose it as a zeromq-based server. that server listens to and answers with json-formatted messages. typically, a django-based web application will use those airinv services, so as to expose to the end user a clean and light user interface.light user interface. 
